
Running 24 tests using 1 worker

(node:3002) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)
  ✓   4 [chromium] › tests/e2e/cefr-audio.spec.js:236:7 › AUDIO-003 CEFR Level Autoplay (deterministic speech mocks) › [AUDIO-003] an available Arabic voice is selected for Arabic steps (1.8s)
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:24] "GET /index.html HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /level.html?level=a1 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /css/core.css HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /css/shared-card.css HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/app.js?v=4 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/firebase.js?v=3 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/storage.js?v=4 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/glossary.js?v=3 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/flashcards.js?v=3 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/quiz.js?v=3 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/trophies.js?v=3 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/tts.js?v=3 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/speech-plan.mjs HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/cefr-audio.mjs HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/utils.js?v=3 HTTP/1.1" 200 -
[WebServer] 127.0.0.1 - - [02/Sep/2026 04:43:25] "GET /js/core/auth-service.js?v=4 HTTP/1.1" 200 -
